accepted,action,attack_extra_path_length,attack_induced_path_change,attack_route_penalty,attack_type,changed,claim,confirmed_weight,contradicted_weight,delivery_cycle_duration_steps,delivery_number,evidence_after,evidence_before,goal,is_malicious,kind,loaded_delivery_duration_steps,method,new_path_cost,new_path_length,new_trust,observation_age,old_path_cost,old_path_length,old_trust,operational_weight,operationally_ignored,outcome,path,phase,position,probability_after,probability_before,reason,recipient_id,report_id,report_ids,robot_id,scenario_event_id,sender_id,sensor_confidence,source_memory,step,target_cell,validated_reports,with_attacker_path_length,without_attacker_path_length
,,,,,,True,,,,,,,,,,replan,,full_trust,92.0,34,,,,0,,,,,"[(7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (17, 8), (18, 8), (19, 8), (20, 8), (20, 9), (21, 9), (22, 9), (23, 9), (24, 9), (25, 9), (25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (26, 2), (27, 2), (28, 2), (29, 2), (30, 2), (31, 2), (32, 2)]",,,,,path_invalid_or_empty,,,,0,,,,,0,,,,
,,,,,,True,,,,,,,,,,replan,,full_trust,101.0,37,,,,0,,,,,"[(27, 41), (26, 41), (25, 41), (25, 40), (24, 40), (23, 40), (22, 40), (21, 40), (20, 40), (19, 40), (18, 40), (17, 40), (16, 40), (15, 40), (14, 40), (13, 40), (12, 40), (12, 41), (11, 41), (10, 41), (9, 41), (8, 41), (7, 41), (6, 41), (5, 41), (4, 41), (3, 41), (3, 42), (3, 43), (3, 44), (3, 45), (3, 46), (3, 47), (3, 48), (3, 49), (3, 50), (2, 50)]",,,,,path_invalid_or_empty,,,,1,,,,,0,,,,
,,,,,,True,,,,,,,,,,replan,,full_trust,32.0,14,,,,0,,,,,"[(6, 41), (5, 41), (4, 41), (3, 41), (3, 42), (3, 43), (3, 44), (3, 45), (3, 46), (3, 47), (3, 48), (3, 49), (3, 50), (2, 50)]",,,,,path_invalid_or_empty,,,,2,,,,,0,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(7, 8)",,,,,,,0,,,,,0,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(27, 41)",,,,,,,1,,,,,0,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(6, 41)",,,,,,,2,,,,,0,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(8, 8)",,,,,,,0,,,,,1,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(26, 41)",,,,,,,1,,,,,1,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(5, 41)",,,,,,,2,,,,,1,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(9, 8)",,,,,,,0,,,,,2,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(25, 41)",,,,,,,1,,,,,2,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(4, 41)",,,,,,,2,,,,,2,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 8)",,,,,,,0,,,,,3,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(25, 40)",,,,,,,1,,,,,3,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 41)",,,,,,,2,,,,,3,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(11, 8)",,,,,,,0,,,,,4,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(24, 40)",,,,,,,1,,,,,4,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 42)",,,,,,,2,,,,,4,,,,
,,,,,,True,,,,,,,,,,replan,,full_trust,88.0,32,,,inf,32,,,,,"[(23, 40), (22, 40), (21, 40), (20, 40), (20, 41), (19, 41), (18, 41), (17, 41), (16, 41), (15, 41), (14, 41), (13, 41), (12, 41), (11, 41), (10, 41), (9, 41), (8, 41), (7, 41), (6, 41), (5, 41), (4, 41), (3, 41), (3, 42), (3, 43), (3, 44), (3, 45), (3, 46), (3, 47), (3, 48), (3, 49), (3, 50), (2, 50)]",,,,,temporary_physical_obstacle_on_route,,,,1,,,,,5,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(12, 8)",,,,,,,0,,,,,5,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(23, 40)",,,,,,,1,,,,,5,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 43)",,,,,,,2,,,,,5,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(13, 8)",,,,,,,0,,,,,6,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(22, 40)",,,,,,,1,,,,,6,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 44)",,,,,,,2,,,,,6,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(14, 8)",,,,,,,0,,,,,7,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(21, 40)",,,,,,,1,,,,,7,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 45)",,,,,,,2,,,,,7,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(15, 8)",,,,,,,0,,,,,8,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(20, 40)",,,,,,,1,,,,,8,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 46)",,,,,,,2,,,,,8,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(16, 8)",,,,,,,0,,,,,9,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(20, 41)",,,,,,,1,,,,,9,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 47)",,,,,,,2,,,,,9,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(17, 8)",,,,,,,0,,,,,10,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(19, 41)",,,,,,,1,,,,,10,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 48)",,,,,,,2,,,,,10,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(18, 8)",,,,,,,0,,,,,11,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(18, 41)",,,,,,,1,,,,,11,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 49)",,,,,,,2,,,,,11,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(19, 8)",,,,,,,0,,,,,12,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(17, 41)",,,,,,,1,,,,,12,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 50)",,,,,,,2,,,,,12,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(20, 8)",,,,,,,0,,,,,13,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(16, 41)",,,,,,,1,,,,,13,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(2, 50)",,,,,,,2,,,,,13,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(20, 9)",,,,,,,0,,,,,14,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(15, 41)",,,,,,,1,,,,,14,,,,
,,,,,,True,,,,,,,,,,replan,,full_trust,110.11222394552638,48,,,,0,,,,,"[(3, 50), (3, 49), (4, 49), (4, 48), (5, 48), (5, 47), (5, 46), (6, 46), (7, 46), (7, 45), (7, 44), (7, 43), (7, 42), (7, 41), (7, 40), (7, 39), (8, 39), (8, 38), (9, 38), (9, 37), (10, 37), (10, 36), (10, 35), (10, 34), (10, 33), (10, 32), (10, 31), (10, 30), (10, 29), (10, 28), (10, 27), (10, 26), (10, 25), (10, 24), (10, 23), (10, 22), (10, 21), (10, 20), (11, 20), (12, 20), (13, 20), (14, 20), (14, 19), (14, 18), (14, 17), (14, 16), (14, 15), (13, 15)]",,,,,task_transition,,,,2,,,,,14,,,,
,task_transition,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(2, 50)",,,,,,,2,,,,,14,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(21, 9)",,,,,,,0,,,,,15,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(14, 41)",,,,,,,1,,,,,15,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 50)",,,,,,,2,,,,,15,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(22, 9)",,,,,,,0,,,,,16,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(13, 41)",,,,,,,1,,,,,16,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 49)",,,,,,,2,,,,,16,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(23, 9)",,,,,,,0,,,,,17,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(12, 41)",,,,,,,1,,,,,17,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(4, 49)",,,,,,,2,,,,,17,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(24, 9)",,,,,,,0,,,,,18,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(11, 41)",,,,,,,1,,,,,18,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(4, 48)",,,,,,,2,,,,,18,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(25, 9)",,,,,,,0,,,,,19,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 41)",,,,,,,1,,,,,19,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(5, 48)",,,,,,,2,,,,,19,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(25, 8)",,,,,,,0,,,,,20,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(9, 41)",,,,,,,1,,,,,20,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(5, 47)",,,,,,,2,,,,,20,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(25, 7)",,,,,,,0,,,,,21,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(8, 41)",,,,,,,1,,,,,21,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(5, 46)",,,,,,,2,,,,,21,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(25, 6)",,,,,,,0,,,,,22,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(7, 41)",,,,,,,1,,,,,22,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(6, 46)",,,,,,,2,,,,,22,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(25, 5)",,,,,,,0,,,,,23,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(6, 41)",,,,,,,1,,,,,23,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(7, 46)",,,,,,,2,,,,,23,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(25, 4)",,,,,,,0,,,,,24,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(5, 41)",,,,,,,1,,,,,24,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(7, 45)",,,,,,,2,,,,,24,,,,
,,,,,,False,,,,,,,,,,replan,,full_trust,15.0,9,,,15.0,9,,,,,"[(25, 3), (25, 2), (26, 2), (27, 2), (28, 2), (29, 2), (30, 2), (31, 2), (32, 2)]",,,,,periodic_route_optimization,,,,0,,,,,25,,,,
,,,,,,False,,,,,,,,,,replan,,full_trust,24.0,12,,,24.0,12,,,,,"[(4, 41), (3, 41), (3, 42), (3, 43), (3, 44), (3, 45), (3, 46), (3, 47), (3, 48), (3, 49), (3, 50), (2, 50)]",,,,,periodic_route_optimization,,,,1,,,,,25,,,,
,,,,,,True,,,,,,,,,,replan,,full_trust,95.32952445083357,38,,,95.86938564016404,38,,,,,"[(7, 44), (7, 43), (7, 42), (7, 41), (8, 41), (9, 41), (10, 41), (10, 40), (10, 39), (10, 38), (10, 37), (10, 36), (10, 35), (10, 34), (10, 33), (10, 32), (10, 31), (10, 30), (10, 29), (10, 28), (10, 27), (10, 26), (10, 25), (10, 24), (10, 23), (10, 22), (10, 21), (10, 20), (11, 20), (12, 20), (13, 20), (14, 20), (14, 19), (14, 18), (14, 17), (14, 16), (14, 15), (13, 15)]",,,,,periodic_route_optimization,,,,2,,,,,25,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(25, 3)",,,,,,,0,,,,,25,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(4, 41)",,,,,,,1,,,,,25,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(7, 44)",,,,,,,2,,,,,25,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(25, 2)",,,,,,,0,,,,,26,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 41)",,,,,,,1,,,,,26,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(7, 43)",,,,,,,2,,,,,26,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(26, 2)",,,,,,,0,,,,,27,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 42)",,,,,,,1,,,,,27,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(7, 42)",,,,,,,2,,,,,27,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(27, 2)",,,,,,,0,,,,,28,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 43)",,,,,,,1,,,,,28,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(7, 41)",,,,,,,2,,,,,28,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(28, 2)",,,,,,,0,,,,,29,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 44)",,,,,,,1,,,,,29,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(8, 41)",,,,,,,2,,,,,29,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(29, 2)",,,,,,,0,,,,,30,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 45)",,,,,,,1,,,,,30,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(9, 41)",,,,,,,2,,,,,30,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(30, 2)",,,,,,,0,,,,,31,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 46)",,,,,,,1,,,,,31,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 41)",,,,,,,2,,,,,31,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(31, 2)",,,,,,,0,,,,,32,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 47)",,,,,,,1,,,,,32,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 40)",,,,,,,2,,,,,32,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(32, 2)",,,,,,,0,,,,,33,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 48)",,,,,,,1,,,,,33,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 39)",,,,,,,2,,,,,33,,,,
,,,,,,True,,,,,,,,,,replan,,full_trust,121.4115852426086,55,,,,0,,,,,"[(31, 2), (30, 2), (29, 2), (28, 2), (28, 3), (28, 4), (28, 5), (27, 5), (27, 6), (27, 7), (27, 8), (26, 8), (26, 9), (25, 9), (24, 9), (23, 9), (22, 9), (21, 9), (21, 10), (20, 10), (19, 10), (19, 11), (19, 12), (18, 12), (18, 13), (17, 13), (16, 13), (15, 13), (14, 13), (14, 14), (14, 15), (14, 16), (14, 17), (14, 18), (14, 19), (14, 20), (13, 20), (12, 20), (11, 20), (10, 20), (9, 20), (8, 20), (7, 20), (6, 20), (5, 20), (4, 20), (3, 20), (3, 21), (3, 22), (3, 23), (3, 24), (3, 25), (3, 26), (3, 27), (2, 27)]",,,,,task_transition,,,,0,,,,,34,,,,
,task_transition,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(32, 2)",,,,,,,0,,,,,34,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 49)",,,,,,,1,,,,,34,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 38)",,,,,,,2,,,,,34,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(31, 2)",,,,,,,0,,,,,35,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 50)",,,,,,,1,,,,,35,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 37)",,,,,,,2,,,,,35,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(30, 2)",,,,,,,0,,,,,36,,,,
,move,,,,,,,,,,,,,"(2, 50)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(2, 50)",,,,,,,1,,,,,36,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 36)",,,,,,,2,,,,,36,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(29, 2)",,,,,,,0,,,,,37,,,,
,,,,,,True,,,,,,,,,,replan,,full_trust,178.07480518651687,78,,,,0,,,,,"[(3, 50), (3, 49), (4, 49), (4, 48), (5, 48), (5, 47), (5, 46), (6, 46), (7, 46), (7, 45), (7, 44), (7, 43), (7, 42), (8, 42), (9, 42), (10, 42), (10, 41), (11, 41), (12, 41), (13, 41), (14, 41), (15, 41), (16, 41), (17, 41), (18, 41), (19, 41), (20, 41), (20, 40), (20, 39), (21, 39), (22, 39), (23, 39), (24, 39), (25, 39), (26, 39), (27, 39), (28, 39), (29, 39), (29, 38), (29, 37), (29, 36), (29, 35), (29, 34), (29, 33), (29, 32), (29, 31), (29, 30), (29, 29), (29, 28), (29, 27), (29, 26), (29, 25), (29, 24), (29, 23), (29, 22), (29, 21), (29, 20), (29, 19), (29, 18), (29, 17), (29, 16), (29, 15), (29, 14), (29, 13), (29, 12), (29, 11), (29, 10), (29, 9), (29, 8), (29, 7), (29, 6), (29, 5), (29, 4), (29, 3), (29, 2), (30, 2), (31, 2), (32, 2)]",,,,,task_transition,,,,1,,,,,37,,,,
,task_transition,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(2, 50)",,,,,,,1,,,,,37,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 35)",,,,,,,2,,,,,37,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(28, 2)",,,,,,,0,,,,,38,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 50)",,,,,,,1,,,,,38,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 34)",,,,,,,2,,,,,38,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(28, 3)",,,,,,,0,,,,,39,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(3, 49)",,,,,,,1,,,,,39,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 33)",,,,,,,2,,,,,39,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(28, 4)",,,,,,,0,,,,,40,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(4, 49)",,,,,,,1,,,,,40,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 32)",,,,,,,2,,,,,40,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(28, 5)",,,,,,,0,,,,,41,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(4, 48)",,,,,,,1,,,,,41,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 31)",,,,,,,2,,,,,41,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(27, 5)",,,,,,,0,,,,,42,,,,
,move,,,,,,,,,,,,,"(32, 2)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(5, 48)",,,,,,,1,,,,,42,,,,
,move,,,,,,,,,,,,,"(13, 15)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(10, 30)",,,,,,,2,,,,,42,,,,
,move,,,,,,,,,,,,,"(2, 27)",,robot_action,,full_trust,,,,,,,,,,,,RECONNAISSANCE,"(27, 6)",,,,,,,0,,,,,43,,,,
