active_fake_claim_count,attacker_attributable_cost_on_route,attacker_is_trusted,attacker_route_cost_delta,attacker_source_memory,attacker_trust,benign_movement_steps,benign_no_path_steps,benign_total_distance,benign_total_replans,benign_traffic_wait_steps,deliveries_completed,goal,influential_fake_claim_count,map_error,mean_delivery_cycle_time_steps,mean_delivery_time_steps,method,path_changes,phase,planning_checks,position,preferred_route_affected_by_attacker,robot_id,route_affected_by_attacker,step
0,0.0,True,0.0,0.9,0.9,1,0,1.0,1,0,0,"(24, 16)",0,0.0,,,trust_fused,1,RECONNAISSANCE,1,"(7, 8)",False,0,False,0
0,0.0,True,0.0,0.9,0.9,1,0,1.0,1,0,0,"(13, 18)",0,0.0,,,trust_fused,1,RECONNAISSANCE,1,"(27, 41)",False,1,False,0
0,0.0,True,0.0,0.9,0.9,1,0,1.0,1,0,0,"(33, 9)",0,0.0,,,trust_fused,1,RECONNAISSANCE,1,"(7, 40)",False,2,False,0
0,0.0,True,0.0,0.9,0.9,6,0,6.0,1,0,0,"(24, 16)",0,0.0,,,trust_fused,1,RECONNAISSANCE,1,"(12, 8)",False,0,False,5
0,0.0,True,0.0,0.9,0.9,6,0,6.0,1,0,0,"(13, 18)",0,0.0,,,trust_fused,1,RECONNAISSANCE,1,"(24, 39)",False,1,False,5
0,0.0,True,0.0,0.9,0.9,6,0,6.0,1,0,0,"(33, 9)",0,0.0,,,trust_fused,1,RECONNAISSANCE,1,"(9, 37)",False,2,False,5
0,0.0,True,0.0,0.9,0.9,11,0,11.0,1,0,0,"(24, 16)",0,0.0,,,trust_fused,1,RECONNAISSANCE,1,"(13, 12)",False,0,False,10
0,0.0,True,0.0,0.9,0.9,11,0,11.0,1,0,0,"(13, 18)",0,0.0,,,trust_fused,1,RECONNAISSANCE,1,"(20, 38)",False,1,False,10
0,0.0,True,0.0,0.9,0.9,11,0,11.0,1,0,0,"(33, 9)",0,0.0,,,trust_fused,1,RECONNAISSANCE,1,"(10, 33)",False,2,False,10
0,0.0,True,0.0,0.9,0.9,16,0,16.0,1,0,0,"(24, 16)",0,0.0,,,trust_fused,1,RECONNAISSANCE,1,"(14, 16)",False,0,False,15
0,0.0,True,0.0,0.9,0.9,16,0,16.0,2,0,0,"(13, 18)",0,0.0,,,trust_fused,2,RECONNAISSANCE,2,"(16, 37)",False,1,False,15
0,0.0,True,0.0,0.9,0.9,16,0,16.0,2,0,0,"(33, 9)",0,0.0,,,trust_fused,2,RECONNAISSANCE,2,"(10, 28)",False,2,False,15
0,0.0,True,0.0,0.9,0.9,21,0,21.0,1,0,0,"(24, 16)",0,0.0,,,trust_fused,1,RECONNAISSANCE,1,"(18, 17)",False,0,False,20
0,0.0,True,0.0,0.9,0.9,21,0,21.0,3,0,0,"(13, 18)",0,0.0,,,trust_fused,3,RECONNAISSANCE,3,"(16, 32)",False,1,False,20
0,0.0,True,0.0,0.9,0.9,21,0,21.0,2,0,0,"(33, 9)",0,0.0,,,trust_fused,2,RECONNAISSANCE,2,"(10, 23)",False,2,False,20
0,0.0,True,0.0,0.9,0.9,26,0,26.0,1,0,0,"(24, 16)",0,0.0,,,trust_fused,1,RECONNAISSANCE,2,"(23, 17)",False,0,False,25
0,0.0,True,0.0,0.9,0.9,26,0,26.0,3,0,0,"(13, 18)",0,0.0,,,trust_fused,3,RECONNAISSANCE,4,"(15, 28)",False,1,False,25
0,0.0,True,0.0,0.9,0.9,26,0,26.0,4,0,0,"(33, 9)",0,0.0,,,trust_fused,4,RECONNAISSANCE,5,"(10, 26)",False,2,False,25
0,0.0,True,0.0,0.9,0.9,30,0,30.0,2,0,0,"(33, 50)",0,0.0,,,trust_fused,2,RECONNAISSANCE,3,"(25, 17)",False,0,False,30
0,0.0,True,0.0,0.9002657988004964,0.9028197609478248,31,0,31.0,3,0,0,"(13, 18)",0,0.0,,,trust_fused,3,RECONNAISSANCE,4,"(15, 23)",False,1,False,30
0,0.0,True,0.0,0.9,0.9,31,0,31.0,5,0,0,"(33, 9)",0,0.0,,,trust_fused,5,RECONNAISSANCE,6,"(13, 26)",False,2,False,30
