active_fake_claim_count,attacker_attributable_cost_on_route,attacker_is_trusted,attacker_route_cost_delta,attacker_source_memory,attacker_trust,benign_movement_steps,benign_no_path_steps,benign_total_distance,benign_total_replans,benign_traffic_wait_steps,deliveries_completed,goal,influential_fake_claim_count,map_error,mean_delivery_cycle_time_steps,mean_delivery_time_steps,method,path_changes,phase,planning_checks,position,preferred_route_affected_by_attacker,robot_id,route_affected_by_attacker,step
0,0.0,True,0.0,0.9,0.9,1,0,1.0,1,0,0,"(2, 50)",0,0.0,,,majority_vote,1,RECONNAISSANCE,1,"(7, 8)",False,0,False,0
0,0.0,True,0.0,0.9,0.9,1,0,1.0,1,0,0,"(2, 50)",0,0.0,,,majority_vote,1,RECONNAISSANCE,1,"(27, 41)",False,1,False,0
0,0.0,True,0.0,0.9,0.9,1,0,1.0,1,0,0,"(33, 50)",0,0.0,,,majority_vote,1,RECONNAISSANCE,1,"(7, 42)",False,2,False,0
0,0.0,True,0.0,0.9,0.9,6,0,6.0,1,0,0,"(2, 50)",0,0.0,,,majority_vote,1,RECONNAISSANCE,1,"(12, 8)",False,0,False,5
0,0.0,True,0.0,0.9,0.9,6,0,6.0,1,0,0,"(2, 50)",0,0.0,,,majority_vote,1,RECONNAISSANCE,1,"(23, 40)",False,1,False,5
0,0.0,True,0.0,0.9,0.9,6,0,6.0,1,0,0,"(33, 50)",0,0.0,,,majority_vote,1,RECONNAISSANCE,1,"(9, 45)",False,2,False,5
0,0.0,True,0.0,0.9,0.9,11,0,11.0,1,0,0,"(2, 50)",0,0.0,,,majority_vote,1,RECONNAISSANCE,1,"(13, 12)",False,0,False,10
0,0.0,True,0.0,0.9,0.9,11,0,11.0,1,0,0,"(2, 50)",0,0.0,,,majority_vote,1,RECONNAISSANCE,1,"(18, 40)",False,1,False,10
0,0.0,True,0.0,0.9,0.9,11,0,11.0,1,0,0,"(33, 50)",0,0.0,,,majority_vote,1,RECONNAISSANCE,1,"(12, 47)",False,2,False,10
0,0.0,True,0.0,0.9,0.9,16,0,16.0,1,0,0,"(2, 50)",0,0.0,,,majority_vote,1,RECONNAISSANCE,1,"(14, 16)",False,0,False,15
0,0.0,True,0.0,0.9,0.9,16,0,16.0,1,0,0,"(2, 50)",0,0.0,,,majority_vote,1,RECONNAISSANCE,1,"(13, 40)",False,1,False,15
0,0.0,True,0.0,0.9,0.9,16,0,16.0,1,0,0,"(33, 50)",0,0.0,,,majority_vote,1,RECONNAISSANCE,1,"(15, 49)",False,2,False,15
0,0.0,True,0.0,0.9,0.9,21,0,21.0,1,0,0,"(2, 50)",0,0.0,,,majority_vote,1,RECONNAISSANCE,1,"(13, 20)",False,0,False,20
0,0.0,True,0.0,0.9,0.9,21,0,21.0,1,0,0,"(2, 50)",0,0.0,,,majority_vote,1,RECONNAISSANCE,1,"(9, 41)",False,1,False,20
0,0.0,True,0.0,0.9,0.9,21,0,21.0,1,0,0,"(33, 50)",0,0.0,,,majority_vote,1,RECONNAISSANCE,1,"(20, 49)",False,2,False,20
0,0.0,True,0.0,0.9,0.9,26,0,26.0,3,0,0,"(2, 50)",0,0.0,,,majority_vote,3,RECONNAISSANCE,3,"(12, 24)",False,0,False,25
0,0.0,True,0.0,0.9,0.9,26,0,26.0,1,0,0,"(2, 50)",0,0.0,,,majority_vote,1,RECONNAISSANCE,2,"(4, 41)",False,1,False,25
0,0.0,True,0.0,0.9,0.9,26,0,26.0,1,0,0,"(33, 50)",0,0.0,,,majority_vote,1,RECONNAISSANCE,2,"(24, 50)",False,2,False,25
0,0.0,True,0.0,0.9,0.9,31,0,31.0,3,0,0,"(2, 50)",0,0.0,,,majority_vote,3,RECONNAISSANCE,3,"(12, 29)",False,0,False,30
0,0.0,True,0.0,0.9,0.9,31,0,31.0,1,0,0,"(2, 50)",0,0.0,,,majority_vote,1,RECONNAISSANCE,2,"(3, 45)",False,1,False,30
0,0.0,True,0.0,0.9,0.9,31,0,31.0,1,0,0,"(33, 50)",0,0.0,,,majority_vote,1,RECONNAISSANCE,2,"(29, 50)",False,2,False,30
0,0.0,True,0.0,0.9,0.9,36,0,36.0,3,0,0,"(2, 50)",0,0.0,,,majority_vote,3,RECONNAISSANCE,3,"(10, 32)",False,0,False,35
0,0.0,True,0.0,0.9,0.9,36,0,36.0,1,0,0,"(2, 50)",0,0.0,,,majority_vote,1,RECONNAISSANCE,2,"(3, 50)",False,1,False,35
0,0.0,True,0.0,0.9,0.9,35,0,35.0,2,0,0,"(13, 15)",0,0.0,,,majority_vote,2,RECONNAISSANCE,3,"(33, 50)",False,2,False,35
0,0.0,True,0.0,0.9,0.9,41,0,41.0,3,0,0,"(2, 50)",0,0.0,,,majority_vote,3,RECONNAISSANCE,3,"(5, 32)",False,0,False,40
0,0.0,True,0.0,0.9,0.9,40,0,40.0,2,0,0,"(15, 2)",0,0.0,,,majority_vote,2,RECONNAISSANCE,3,"(4, 49)",False,1,False,40
0,0.0,True,0.0,0.9,0.9,40,0,40.0,2,0,0,"(13, 15)",0,0.0,,,majority_vote,2,RECONNAISSANCE,3,"(30, 48)",False,2,False,40
0,0.0,True,0.0,0.9,0.9,46,0,46.0,3,0,0,"(2, 50)",0,0.0,,,majority_vote,3,RECONNAISSANCE,3,"(3, 35)",False,0,False,45
0,0.0,True,0.0,0.9,0.9,45,0,45.0,2,0,0,"(15, 2)",0,0.0,,,majority_vote,2,RECONNAISSANCE,3,"(6, 46)",False,1,False,45
0,0.0,True,0.0,0.9,0.9,45,0,45.0,2,0,0,"(13, 15)",0,0.0,,,majority_vote,2,RECONNAISSANCE,3,"(28, 45)",False,2,False,45
0,0.0,True,0.0,0.9,0.9,51,0,51.0,3,0,0,"(2, 50)",0,0.0,,,majority_vote,3,RECONNAISSANCE,4,"(3, 40)",False,0,False,50
0,0.0,True,0.0,0.900067776291975,0.9013555258394995,50,0,50.0,3,0,0,"(15, 2)",0,0.0,,,majority_vote,3,RECONNAISSANCE,4,"(7, 42)",False,1,False,50
0,0.0,True,0.0,0.9,0.9,50,0,50.0,3,0,0,"(13, 15)",0,0.0,,,majority_vote,3,RECONNAISSANCE,4,"(25, 43)",False,2,False,50
0,0.0,True,0.0,0.9,0.9,56,0,56.0,3,0,0,"(2, 50)",0,0.0,,,majority_vote,3,RECONNAISSANCE,4,"(3, 45)",False,0,False,55
0,0.0,True,0.0,0.9012894446415387,0.9076794195353138,55,0,55.0,3,0,0,"(15, 2)",0,0.0,,,majority_vote,3,RECONNAISSANCE,4,"(9, 39)",False,1,False,55
0,0.0,True,0.0,0.9,0.9,55,0,55.0,3,0,0,"(13, 15)",0,0.0,,,majority_vote,3,RECONNAISSANCE,4,"(24, 39)",False,2,False,55
0,0.0,True,0.0,0.9,0.9,61,0,61.0,3,0,0,"(2, 50)",0,0.0,,,majority_vote,3,RECONNAISSANCE,4,"(3, 50)",False,0,False,60
0,0.0,True,0.0,0.9033901555057613,0.9122648896639579,60,0,60.0,3,0,0,"(15, 2)",0,0.0,,,majority_vote,3,RECONNAISSANCE,4,"(11, 36)",False,1,False,60
0,0.0,True,0.0,0.9,0.9,60,0,60.0,3,0,0,"(13, 15)",0,0.0,,,majority_vote,3,RECONNAISSANCE,4,"(19, 39)",False,2,False,60
0,0.0,True,0.0,0.9,0.9,65,0,65.0,5,0,0,"(15, 2)",0,0.0,,,majority_vote,5,RECONNAISSANCE,6,"(3, 48)",False,0,False,65
0,0.0,True,0.0,0.9059709942373868,0.9161935267400246,65,0,65.0,3,0,0,"(15, 2)",0,0.0,,,majority_vote,3,RECONNAISSANCE,4,"(15, 35)",False,1,False,65
0,0.0,True,0.0,0.900591235924169,0.9043069186401189,65,0,65.0,3,0,0,"(13, 15)",0,0.0,,,majority_vote,3,RECONNAISSANCE,4,"(14, 39)",False,2,False,65
0,0.0,True,0.0,0.9,0.9,70,0,70.0,10,0,0,"(15, 2)",0,0.0014044943820224719,,,majority_vote,10,RECONNAISSANCE,11,"(3, 43)",False,0,False,70
0,0.0,True,0.0,0.9087533936267425,0.9194861853368842,70,0,70.0,3,0,0,"(15, 2)",0,0.0,,,majority_vote,3,RECONNAISSANCE,4,"(15, 30)",False,1,False,70
0,0.0,True,0.0,0.9020900586951707,0.9089094912308952,70,0,70.0,3,0,0,"(13, 15)",0,0.0,,,majority_vote,3,RECONNAISSANCE,4,"(14, 34)",False,2,False,70
0,0.0,True,0.0,0.9,0.9,75,0,75.0,15,0,0,"(15, 2)",0,0.001379310344827586,,,majority_vote,15,RECONNAISSANCE,16,"(3, 38)",False,0,False,75
0,0.0,True,0.0,0.9116094095728006,0.9225056124718821,75,0,75.0,3,0,0,"(15, 2)",0,0.0,,,majority_vote,3,RECONNAISSANCE,5,"(15, 25)",False,1,False,75
0,0.0,True,0.0,0.9041854297083931,0.9127467201881545,75,0,75.0,3,0,0,"(13, 15)",0,0.0,,,majority_vote,3,RECONNAISSANCE,5,"(14, 29)",False,2,False,75
0,0.0,True,0.0,0.9,0.9,80,0,80.0,20,0,0,"(15, 2)",0,0.0013717421124828531,,,majority_vote,20,RECONNAISSANCE,21,"(6, 36)",False,0,False,80
0,0.0,True,0.0,0.9144736055694803,0.9253589775503147,80,0,80.0,3,0,0,"(15, 2)",0,0.0,,,majority_vote,3,RECONNAISSANCE,5,"(15, 20)",False,1,False,80
