active_fake_claim_count,attacker_attributable_cost_on_route,attacker_is_trusted,attacker_route_cost_delta,attacker_source_memory,attacker_trust,benign_movement_steps,benign_no_path_steps,benign_total_distance,benign_total_replans,benign_traffic_wait_steps,deliveries_completed,goal,influential_fake_claim_count,map_error,mean_delivery_cycle_time_steps,mean_delivery_time_steps,method,path_changes,phase,planning_checks,position,preferred_route_affected_by_attacker,robot_id,route_affected_by_attacker,step
0,0.0,True,0.0,0.9,0.9,1,0,1.0,1,0,0,"(3, 8)",0,0.0,,,trust_fused,1,RECONNAISSANCE,1,"(5, 8)",False,0,False,0
0,0.0,True,0.0,0.9,0.9,1,0,1.0,1,0,0,"(2, 44)",0,0.0,,,trust_fused,1,RECONNAISSANCE,1,"(27, 41)",False,1,False,0
0,0.0,True,0.0,0.9,0.9,1,0,1.0,1,0,0,"(14, 50)",0,0.0,,,trust_fused,1,RECONNAISSANCE,1,"(7, 42)",False,2,False,0
0,0.0,True,0.0,0.9,0.9,5,0,5.0,2,0,0,"(2, 44)",0,0.0,,,trust_fused,2,RECONNAISSANCE,2,"(5, 8)",False,0,False,5
0,0.0,True,0.0,0.9,0.9,6,0,6.0,1,0,0,"(2, 44)",0,0.0,,,trust_fused,1,RECONNAISSANCE,1,"(23, 40)",False,1,False,5
0,0.0,True,0.0,0.9,0.9,6,0,6.0,1,0,0,"(14, 50)",0,0.0,,,trust_fused,1,RECONNAISSANCE,1,"(9, 45)",False,2,False,5
0,0.0,True,0.0,0.9,0.9,10,0,10.0,2,0,0,"(2, 44)",0,0.0,,,trust_fused,2,RECONNAISSANCE,2,"(10, 8)",False,0,False,10
0,0.0,True,0.0,0.9,0.9,11,0,11.0,1,0,0,"(2, 44)",0,0.0,,,trust_fused,1,RECONNAISSANCE,1,"(18, 40)",False,1,False,10
0,0.0,True,0.0,0.9,0.9,11,0,11.0,1,0,0,"(14, 50)",0,0.0,,,trust_fused,1,RECONNAISSANCE,1,"(10, 49)",False,2,False,10
0,0.0,True,0.0,0.9,0.9,15,0,15.0,2,0,0,"(2, 44)",0,0.0,,,trust_fused,2,RECONNAISSANCE,2,"(13, 10)",False,0,False,15
0,0.0,True,0.0,0.9,0.9,16,0,16.0,1,0,0,"(2, 44)",0,0.0,,,trust_fused,1,RECONNAISSANCE,1,"(13, 40)",False,1,False,15
0,0.0,True,0.0,0.9,0.9,16,0,16.0,1,0,0,"(14, 50)",0,0.0,,,trust_fused,1,RECONNAISSANCE,1,"(14, 50)",False,2,False,15
0,0.0,True,0.0,0.9,0.9,20,0,20.0,2,0,0,"(2, 44)",0,0.0,,,trust_fused,2,RECONNAISSANCE,2,"(13, 15)",False,0,False,20
0,0.0,True,0.0,0.9,0.9,21,0,21.0,1,0,0,"(2, 44)",0,0.0,,,trust_fused,1,RECONNAISSANCE,1,"(9, 41)",False,1,False,20
0,0.0,True,0.0,0.9,0.9,20,0,20.0,2,0,0,"(2, 27)",0,0.0,,,trust_fused,2,RECONNAISSANCE,2,"(12, 48)",False,2,False,20
0,0.0,True,0.0,0.9,0.9,25,0,25.0,4,0,0,"(2, 44)",0,0.0,,,trust_fused,4,RECONNAISSANCE,5,"(14, 19)",False,0,False,25
0,0.0,True,0.0,0.9,0.9,26,0,26.0,1,0,0,"(2, 44)",0,0.0,,,trust_fused,1,RECONNAISSANCE,2,"(4, 41)",False,1,False,25
0,0.0,True,0.0,0.9,0.9,25,0,25.0,3,0,0,"(2, 27)",0,0.0,,,trust_fused,3,RECONNAISSANCE,3,"(9, 46)",False,2,False,25
0,0.0,True,0.0,0.9,0.9,30,0,30.0,5,0,0,"(2, 44)",0,0.0,,,trust_fused,5,RECONNAISSANCE,6,"(16, 22)",False,0,False,30
0,0.0,True,0.0,0.9,0.9,31,0,31.0,1,0,0,"(2, 44)",0,0.0,,,trust_fused,1,RECONNAISSANCE,2,"(2, 44)",False,1,False,30
0,0.0,True,0.0,0.9,0.9,30,0,30.0,3,0,0,"(2, 27)",0,0.0,,,trust_fused,3,RECONNAISSANCE,3,"(7, 43)",False,2,False,30
0,0.0,True,0.0,0.9,0.9,35,0,35.0,5,0,0,"(2, 44)",0,0.0,,,trust_fused,5,RECONNAISSANCE,6,"(14, 25)",False,0,False,35
0,0.0,True,0.0,0.9,0.9,35,0,35.0,2,0,0,"(25, 2)",0,0.0,,,trust_fused,2,RECONNAISSANCE,3,"(4, 42)",False,1,False,35
0,0.0,True,0.0,0.9,0.9,35,0,35.0,3,0,0,"(2, 27)",0,0.0,,,trust_fused,3,RECONNAISSANCE,3,"(5, 40)",False,2,False,35
0,0.0,True,0.0,0.9,0.9,40,0,40.0,5,0,0,"(2, 44)",0,0.0,,,trust_fused,5,RECONNAISSANCE,6,"(11, 27)",False,0,False,40
